ID,Source,Duration in Minutes,Start Time,End Time,Amount,Kiosk ID,App Zone ID,App Zone Group,Payment Method,Location Group,Last Updated,Year,Month,Hour,inter_arrival_minutes
84918949,Parking Meters,127.666664,2024-01-01 07:52:00,2021-08-16 10:00:00,4.25,61001609,,,CARD,Rainey,5/4/2023 21:36,2021,August,7,1.0
84918950,Parking Meters,186.15,2024-01-01 07:53:00,2021-08-16 11:00:00,7.25,20001435,,,CARD,Non-Core,5/4/2023 21:36,2021,August,7,1.0
84854234,Parking Meters,66.11667,2024-01-01 07:53:00,2021-08-11 09:00:00,2.25,24002439,,,CARD,East Austin,5/4/2023 21:35,2021,August,7,0.0
84881069,Parking Meters,65.183334,2024-01-01 07:54:00,2021-08-13 09:00:00,2.25,20001439,,,CARD,Non-Core,5/4/2023 21:35,2021,August,7,1.0
84806910,Parking Meters,242.78334,2024-01-01 07:57:00,2021-08-07 12:00:00,2.25,10001221,,,CARD,Core,5/4/2023 21:34,2021,August,7,3.0
84919032,Parking Meters,480.18332,2024-01-01 07:59:00,2021-08-16 16:00:00,29.25,10000201,,,CARD,Core,5/4/2023 21:36,2021,August,7,2.0
84881175,Parking Meters,180.0,2024-01-01 08:01:00,2021-08-13 11:01:00,7.25,10000501,,,CARD,Core,5/4/2023 21:35,2021,August,8,2.0
84739012,Parking Meters,240.0,2024-01-01 08:01:00,2021-08-02 12:01:00,10.75,10001045,,,CARD,Core,6/9/2023 21:20,2021,August,8,0.0
84739016,Parking Meters,180.0,2024-01-01 08:01:00,2021-08-02 11:01:00,7.25,10000131,,,CARD,Core,6/9/2023 21:20,2021,August,8,0.0
84881176,Parking Meters,315.0,2024-01-01 08:01:00,2021-08-13 13:16:00,15.5,10000327,,,CARD,Core,5/4/2023 21:35,2021,August,8,0.0
84762588,Parking Meters,90.0,2024-01-01 08:02:00,2021-08-04 09:32:00,3.25,35001527,,,CARD,West Campus,5/4/2023 21:34,2021,August,8,1.0
84881195,Parking Meters,195.0,2024-01-01 08:03:00,2021-08-13 11:18:00,7.75,20001728,,,CARD,Non-Core,5/4/2023 21:35,2021,August,8,1.0
84714740,Parking Meters,60.0,2024-01-01 08:06:00,2021-07-31 09:06:00,2.25,35001552,,,CARD,West Campus,5/4/2023 21:32,2021,July,8,3.0
84762713,Parking Meters,555.0,2024-01-01 08:08:00,2021-08-04 17:23:00,35.0,10001024,,,CARD,Core,5/4/2023 21:34,2021,August,8,2.0
84750185,Parking Meters,165.0,2024-01-01 08:09:00,2021-08-03 10:54:00,6.25,10000704,,,CARD,Core,5/4/2023 21:34,2021,August,8,1.0
84762709,Parking Meters,52.5,2024-01-01 08:09:00,2021-08-04 09:01:00,1.75,10000844,,,COINS,Core,5/4/2023 21:34,2021,August,8,0.0
84762716,Parking Meters,225.0,2024-01-01 08:09:00,2021-08-04 11:54:00,9.5,35001527,,,CARD,West Campus,5/4/2023 21:34,2021,August,8,0.0
84750205,Parking Meters,232.5,2024-01-01 08:10:00,2021-08-03 12:02:00,7.75,10000855,,,CARD,Core,5/4/2023 21:34,2021,August,8,1.0
84750203,Parking Meters,150.0,2024-01-01 08:11:00,2021-08-03 10:41:00,5.5,10000704,,,CARD,Core,5/4/2023 21:34,2021,August,8,1.0
84750201,Parking Meters,60.0,2024-01-01 08:11:00,2021-08-03 09:11:00,2.25,10000201,,,CARD,Core,5/4/2023 21:34,2021,August,8,0.0
