ID,Source,Duration in Minutes,Start Time,End Time,Amount,Kiosk ID,App Zone ID,App Zone Group,Payment Method,Location Group,Last Updated
84684608,Parking Meters,60,7/29/2021 10:56,7/29/2021 11:56,2.25,26002605,,,CARD,Mueller,5/4/2023 21:32
84684743,Parking Meters,60,7/29/2021 11:04,7/29/2021 12:04,2.25,20001416,,,CARD,Non-Core,5/4/2023 21:32
84684754,Parking Meters,60,7/29/2021 11:04,7/29/2021 12:04,2.25,20001440,,,CARD,Non-Core,5/4/2023 21:32
84684758,Parking Meters,67.5,7/29/2021 11:05,7/29/2021 12:13,2.25,24002439,,,CARD,East Austin,5/4/2023 21:32
84684774,Parking Meters,60,7/29/2021 11:06,7/29/2021 12:06,2.25,10000125,,,CARD,Core,5/4/2023 21:32
84684785,Parking Meters,60,7/29/2021 11:05,7/29/2021 12:05,2.25,24002426,,,CARD,East Austin,5/4/2023 21:32
84684788,Parking Meters,240,7/29/2021 11:06,7/29/2021 15:06,10.75,35002528,,,CARD,West Campus,5/4/2023 21:32
84684790,Parking Meters,60,7/29/2021 11:06,7/29/2021 12:06,2,20000977,,,COINS,Non-Core,5/4/2023 21:32
84684796,Parking Meters,60,7/29/2021 11:06,7/29/2021 12:06,2.25,35001558,,,CARD,West Campus,5/4/2023 21:32
84684808,Parking Meters,240,7/29/2021 11:07,7/29/2021 14:56,6,10001041,,,CARD,Core,5/4/2023 21:32
84685037,Parking Meters,135,7/29/2021 11:19,7/29/2021 13:34,4.75,10000736,,,CARD,Core,5/4/2023 21:32
84685767,Parking Meters,60,7/29/2021 11:52,7/29/2021 12:52,2.25,26002628,,,CARD,Mueller,5/4/2023 21:32
84688628,Parking Meters,210,7/29/2021 13:57,7/29/2021 17:27,8.5,10001217,,,CARD,Core,5/4/2023 21:32
84688630,Parking Meters,60,7/29/2021 13:58,7/29/2021 14:58,2.25,20001423,,,CARD,Non-Core,5/4/2023 21:32
84688631,Parking Meters,60,7/29/2021 13:57,7/29/2021 14:57,2.25,61001623,,,CARD,Rainey,5/4/2023 21:32
84688632,Parking Meters,60,7/29/2021 13:58,7/29/2021 14:58,2.25,10000134,,,CARD,Core,5/4/2023 21:32
84688633,Parking Meters,60,7/29/2021 13:57,7/29/2021 14:57,2.25,24002475,,,CARD,East Austin,5/4/2023 21:32
84688635,Parking Meters,105,7/29/2021 13:57,7/29/2021 15:42,3.75,35002503,,,CARD,West Campus,5/4/2023 21:32
84688639,Parking Meters,60,7/29/2021 13:57,7/29/2021 14:57,2.25,20001412,,,CARD,Non-Core,5/4/2023 21:32
84688642,Parking Meters,60,7/29/2021 13:57,7/29/2021 14:57,2.25,10000515,,,CARD,Core,5/4/2023 21:32
84688646,Parking Meters,75,7/29/2021 13:57,7/29/2021 15:12,2.75,35001548,,,CARD,West Campus,5/4/2023 21:32
84688648,Parking Meters,60,7/29/2021 13:58,7/29/2021 14:58,2.25,10000301,,,CARD,Core,5/4/2023 21:32
84688661,Parking Meters,60,7/29/2021 13:58,7/29/2021 14:58,2.25,20001404,,,CARD,Non-Core,5/4/2023 21:32
84688662,Parking Meters,240.71666,7/29/2021 13:59,7/29/2021 17:59,10.78,20000930,,,CARD,Non-Core,5/4/2023 21:32
84688688,Parking Meters,105,7/29/2021 14:00,7/29/2021 15:45,3.75,26002630,,,CARD,Mueller,5/4/2023 21:32
84688692,Parking Meters,135,7/29/2021 13:58,7/29/2021 16:13,4.75,35001537,,,CARD,West Campus,5/4/2023 21:32
84688698,Parking Meters,135,7/29/2021 13:59,7/29/2021 16:14,4.75,35001529,,,CARD,West Campus,5/4/2023 21:32
84688700,Parking Meters,150,7/29/2021 14:00,7/29/2021 16:30,5,91001901,,,CARD,MACC Lot,5/4/2023 21:32
84688703,Parking Meters,60,7/29/2021 14:00,7/29/2021 15:00,2.25,26002604,,,CARD,Mueller,5/4/2023 21:32
84689582,Parking Meters,165,7/29/2021 14:46,7/29/2021 17:31,6.25,35001544,,,CARD,West Campus,5/4/2023 21:32
84689583,Parking Meters,192.9,7/29/2021 14:47,7/29/2021 18:00,7.68,10000623,,,CARD,Core,5/4/2023 21:32
84689586,Parking Meters,60,7/29/2021 14:47,7/29/2021 15:47,2.25,10001034,,,CARD,Core,5/4/2023 21:32
84689589,Parking Meters,60,7/29/2021 14:47,7/29/2021 15:47,2.25,28002813,,,CARD,Austin High,5/4/2023 21:32
84689591,Parking Meters,60,7/29/2021 14:46,7/29/2021 15:46,2.25,35001525,,,CARD,West Campus,5/4/2023 21:32
84689594,Parking Meters,60,7/29/2021 14:47,7/29/2021 15:47,2.25,10000803,,,CARD,Core,5/4/2023 21:32
84689596,Parking Meters,90,7/29/2021 14:47,7/29/2021 16:17,3.25,71002012,,,CARD,Toomey,5/4/2023 21:32
84689597,Parking Meters,150,7/29/2021 14:48,7/29/2021 17:18,5.5,10000125,,,CARD,Core,5/4/2023 21:32
84689601,Parking Meters,90,7/29/2021 14:47,7/29/2021 16:17,3.25,20001146,,,CARD,Non-Core,5/4/2023 21:32
84689605,Parking Meters,90,7/29/2021 14:48,7/29/2021 16:18,3,26002630,,,COINS,Mueller,5/4/2023 21:32
84689606,Parking Meters,75,7/29/2021 14:47,7/29/2021 16:02,2.75,26002623,,,CARD,Mueller,5/4/2023 21:32
84689608,Parking Meters,127.5,7/29/2021 14:47,7/29/2021 16:08,2.25,24002425,,,CARD,East Austin,5/4/2023 21:32
84689611,Parking Meters,105,7/29/2021 14:48,7/29/2021 16:33,3.75,10000114,,,CARD,Core,5/4/2023 21:32
84689612,Parking Meters,30,7/29/2021 14:48,7/29/2021 15:18,1,20001754,,,COINS,Non-Core,5/4/2023 21:32
84690188,Parking Meters,105,7/29/2021 15:14,7/29/2021 16:59,3.75,26002601,,,CARD,Mueller,5/4/2023 21:32
84695682,Parking Meters,210,7/29/2021 21:25,7/29/2021 22:24,2.25,10000130,,,CARD,Core,5/4/2023 21:32
84695684,Parking Meters,60,7/29/2021 21:26,7/29/2021 22:26,2.25,24002451,,,CARD,East Austin,5/4/2023 21:32
84695685,Parking Meters,150,7/29/2021 21:24,7/29/2021 23:54,5.5,10000333,,,CARD,Core,5/4/2023 21:32
84695686,Parking Meters,153.7,7/29/2021 21:25,7/29/2021 23:58,5.68,10001003,,,CARD,Core,5/4/2023 21:32
84695688,Parking Meters,120,7/29/2021 21:25,7/29/2021 23:25,4.25,24002427,,,CARD,East Austin,5/4/2023 21:32
84695689,Parking Meters,150,7/29/2021 21:26,7/29/2021 23:56,5.5,24002415,,,CARD,East Austin,5/4/2023 21:32
84695691,Parking Meters,168.75,7/29/2021 21:26,7/29/2021 22:33,2.25,61001617,,,CARD,Rainey,5/4/2023 21:32
84695692,Parking Meters,135,7/29/2021 21:25,7/29/2021 23:40,4.75,61001627,,,CARD,Rainey,5/4/2023 21:32
84695694,Parking Meters,60,7/29/2021 21:27,7/29/2021 22:27,2.25,24002475,,,CARD,East Austin,5/4/2023 21:32
84695698,Parking Meters,150.26666,7/29/2021 21:28,7/29/2021 23:58,5.51,10000663,,,CARD,Core,5/4/2023 21:32
84695699,Parking Meters,168.75,7/29/2021 21:28,7/29/2021 22:25,2.25,10000652,,,CARD,Core,5/4/2023 21:32
84695700,Parking Meters,150.76666,7/29/2021 21:28,7/29/2021 23:58,5.53,24002444,,,CARD,East Austin,5/4/2023 21:32
84695703,Parking Meters,150,7/29/2021 21:28,7/29/2021 23:58,5.5,61001616,,,CARD,Rainey,5/4/2023 21:32
84695704,Parking Meters,149.36667,7/29/2021 21:29,7/29/2021 23:58,5.46,10000641,,,CARD,Core,5/4/2023 21:32
84695705,Parking Meters,150.06667,7/29/2021 21:28,7/29/2021 23:58,5.5,61001607,,,CARD,Rainey,5/4/2023 21:32
84695706,Parking Meters,120,7/29/2021 21:29,7/29/2021 23:29,4.25,10001031,,,CARD,Core,5/4/2023 21:32
84695741,Parking Meters,141.66667,7/29/2021 21:37,7/29/2021 23:58,5.08,61001607,,,CARD,Rainey,5/4/2023 21:32
84695747,Parking Meters,141.75,7/29/2021 21:37,7/29/2021 23:58,5.08,10000510,,,CARD,Core,5/4/2023 21:32
