Scenario,Car_ID,Arrival_Time,Queue_Time,Search_Time,Parking_Duration,Jenis
MANUAL,Car_2426,4731.0,0.0,6.0951349842286975,150.0,Manual
MANUAL,Car_2518,4810.0,11.666352592953444,6.332061157673046,60.0,Manual
MANUAL,Car_2465,4762.0,8.490004131504065,12.971868254932156,105.0,Manual
MANUAL,Car_2283,4594.0,0.0,11.863907392804897,285.0,Manual
MANUAL,Car_2166,4415.0,0.0,1.983653285954763,474.63333,Manual
MANUAL,Car_2514,4802.0,13.949096952795117,15.851922574788452,60.0,Manual
MANUAL,Car_2469,4762.0,9.64321677964108,15.28167029628101,105.0,Manual
MANUAL,Car_2350,4661.0,0.0,6.240389186248814,225.0,Manual
MANUAL,Car_2454,4740.0,19.684618232608045,12.844761970464607,120.0,Manual
MANUAL,Car_2523,4816.0,12.536491822121206,6.539099160215304,60.0,Manual
MANUAL,Car_2522,4816.0,12.07436552539184,8.086010598085206,60.0,Manual
MANUAL,Car_2475,4767.0,9.918216808159741,15.857308820122155,105.0,Manual
MANUAL,Car_2459,4748.0,17.27577019131877,13.438191178078,120.0,Manual
MANUAL,Car_2528,4817.0,17.813777096716876,13.02750895123683,52.5,Manual
MANUAL,Car_2555,4840.0,18.92622691548513,11.347606431415873,33.0,Manual
MANUAL,Car_2220,4525.0,0.0,4.72078503038961,375.0,Manual
MANUAL,Car_2424,4730.0,0.0,10.03522506673694,165.0,Manual
MANUAL,Car_2526,4817.0,14.23385698930906,14.199080030531864,60.0,Manual
MANUAL,Car_2151,4356.0,0.0,1.5861460111295458,548.05,Manual
MANUAL,Car_2457,4747.0,15.376307647051362,8.719430468476752,135.0,Manual
MANUAL,Car_2502,4795.0,10.075366738391494,12.074284630564916,90.0,Manual
MANUAL,Car_2312,4630.0,0.0,8.835822669063717,270.0,Manual
MANUAL,Car_2533,4819.0,21.327440048889912,10.053434705700734,60.0,Manual
MANUAL,Car_2481,4769.0,11.170804260683326,10.55186584525659,120.0,Manual
MANUAL,Car_2445,4737.0,9.358690180774829,14.801811489678396,150.0,Manual
MANUAL,Car_2531,4819.0,19.999940302568575,12.336451939466418,60.0,Manual
MANUAL,Car_2496,4791.0,7.73269352733405,7.687576008273438,105.0,Manual
